address,area,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,year,property_type,property_feature,lat,lng
"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",60.0,Tây Bắc,,3.0,4.0,5.0,Have certificate,,7.45,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.84260486,106.7181363
"Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, Hồ Chí Minh",54.0,,,2.0,3.0,2.0,Have certificate,Basic,7.5,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.75807386,106.6904947
"Đường Thân Nhân Trung, Phường 13, Tân Bình, Hồ Chí Minh",59.0,,,3.0,9.0,9.0,Have certificate,Basic,6.0,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.80473979,106.642621
"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",100.0,,,,,,Have certificate,Full,7.0,2024,Unknown,Unknown,10.8659215,106.665642
"Đường Lê Đức Thọ, Phường 13, Gò Vấp, Hồ Chí Minh",58.0,,,,5.0,5.0,Have certificate,Full,6.2,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.8554446,106.6555147
"Đường Ấp 6, Xã Lê Minh Xuân, Bình Chánh, Hồ Chí Minh",40.0,,,1.0,2.0,2.0,Have certificate,,1.3,2024,Unknown,Unknown,10.76956559,106.549072
"Đường Hồ Học Lãm, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",127.0,,,2.0,3.0,2.0,Have certificate,Full,8.45,2024,"Nhà mặt phố, mặt tiền",Unknown,10.7305608,106.6057732
"Đường Nguyễn Phúc Chu, Phường 15, Tân Bình, Hồ Chí Minh",48.0,,,3.0,4.0,3.0,Have certificate,Full,5.0,2024,"Nhà mặt phố, mặt tiền",Unknown,10.82285799,106.6349146
"Đường Trần Thị Trọng, Phường 15, Tân Bình, Hồ Chí Minh",54.0,,,2.0,,,,,4.1,2024,Unknown,Unknown,10.82610531,106.6338655
"Đường Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh",35.0,,,3.0,3.0,2.0,Have certificate,Full,3.75,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.75816063,106.7123777
"Hẻm 1234, Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",98.7,Đông Nam,Đông Nam,2.0,7.0,4.0,Have certificate,Basic,5.2,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.71832537,106.73642
"76/10/24 Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",54.0,Tây,Tây,2.0,2.0,2.0,Have certificate,Full,5.65,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.78244783,106.6321589
"Đường Xô Viết Nghệ Tĩnh, Phường 24, Bình Thạnh, Hồ Chí Minh",70.0,,,5.0,7.0,8.0,Have certificate,,6.9,2024,"Nhà mặt phố, mặt tiền",Unknown,10.80356402,106.7114304
"Đường Số 12, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",60.0,Đông Nam,,3.0,4.0,3.0,Have certificate,Full,5.2,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.86484312,106.7303973
